kontor;fylke
Hasvik;Troms og Finnmark
Karlsøy;Troms og Finnmark
Lebesby;Troms og Finnmark
Lyngen;Troms og Finnmark
Målselv-Bardu;Troms og Finnmark
Nordkapp;Troms og Finnmark
Nordreisa;Troms og Finnmark
Porsanger;Troms og Finnmark
Salangen-Lavangen-Dyrøy;Troms og Finnmark
Senja-Sørreisa;Troms og Finnmark
Skjervøy;Troms og Finnmark
Sør-Troms;Troms og Finnmark
Sør-Varanger;Troms og Finnmark
Tromsø;Troms og Finnmark
Unjárga/Nesseby;Troms og Finnmark
Vadsø;Troms og Finnmark
Vardø;Troms og Finnmark
Ávjovárri;Troms og Finnmark
Falkenborg;Trøndelag
Fosen;Trøndelag
Heim;Trøndelag
Hitra Frøya;Trøndelag
Indre Namdal;Trøndelag
Inn-Trøndelag;Trøndelag
Lerkendal;Trøndelag
Levanger;Trøndelag
Malvik;Trøndelag
Midtre Gauldal;Trøndelag
Midtre Namdal;Trøndelag
Nærøysund;Trøndelag
Oppdal og Rennebu;Trøndelag
Orkland;Trøndelag
Røros, Os og Holtålen;Trøndelag
Skaun Melhus;Trøndelag
Verdal;Trøndelag
Værnes;Trøndelag
Asker;Vest-Viken
Bærum;Vest-Viken
Drammen;Vest-Viken
Hallingdal;Vest-Viken
Hole;Vest-Viken
Jevnaker;Vest-Viken
Kongsberg;Vest-Viken
Lier;Vest-Viken
Midt-Buskerud;Vest-Viken
Numedal;Vest-Viken
Ringerike;Vest-Viken
Øvre Eiker;Vest-Viken
Bamble;Vestfold og Telemark
Drangedal;Vestfold og Telemark
Færder;Vestfold og Telemark
Holmestrand;Vestfold og Telemark
Horten;Vestfold og Telemark
Kragerø;Vestfold og Telemark
Larvik;Vestfold og Telemark
Midt-Telemark;Vestfold og Telemark
Notodden og Hjartdal;Vestfold og Telemark
Porsgrunn;Vestfold og Telemark
Sandefjord;Vestfold og Telemark
Siljan;Vestfold og Telemark
Skien;Vestfold og Telemark
Tinn;Vestfold og Telemark
Tønsberg;Vestfold og Telemark
Vest-Telemark;Vestfold og Telemark
Alver;Vestland
Askvoll;Vestland
Askøy;Vestland
Aurland og Lærdal;Vestland
Austevoll;Vestland
Bergen nord;Vestland
Bergen sentrum;Vestland
Bergen sør;Vestland
Bergen vest;Vestland
Bjørnafjorden;Vestland
Bømlo;Vestland
Eidfjord;Vestland
Fensfjorden;Vestland
Fitjar;Vestland
Kinn;Vestland
Kvam;Vestland
Kvinnherad;Vestland
Luster;Vestland
Nordfjord;Vestland
Osterøy;Vestland
Samnanger;Vestland
Sogndal;Vestland
Solund;Vestland
Stord;Vestland
Sunnfjord og Ytre Sogn;Vestland
Sveio;Vestland
Tysnes;Vestland
Ullensvang;Vestland
Ulvik;Vestland
Vaksdal;Vestland
Vik;Vestland
Voss;Vestland
Årdal;Vestland
Øygarden;Vestland
Aurskog-Høland;Øst-Viken
Eidsvoll Hurdal;Øst-Viken
Enebakk;Øst-Viken
Fredrikstad;Øst-Viken
Frogn;Øst-Viken
Halden-Aremark;Øst-Viken
Hvaler;Øst-Viken
Indre Østfold;Øst-Viken
Lillestrøm;Øst-Viken
Lørenskog;Øst-Viken
Moss;Øst-Viken
Nannestad Gjerdrum;Øst-Viken
Nes i Akershus;Øst-Viken
Nesodden;Øst-Viken
Nittedal;Øst-Viken
Nordre Follo;Øst-Viken
Rakkestad;Øst-Viken
Råde;Øst-Viken
Rælingen;Øst-Viken
Sarpsborg;Øst-Viken
Skiptvet Marker;Øst-Viken
Ullensaker;Øst-Viken
Vestby;Øst-Viken
Våler;Øst-Viken
Ås;Øst-Viken
